ID,num_lx,num_rx,DeltaSZ,DeltaSP,dNum,resp,acc,RT,Group,DeltaNB
102,16,13,0.666666667,-1.333333333,0.333333333,1,0,1.483276892,4yo,-0.299560282
102,32,8,-0.666666667,1.666666667,2,0,1,0.928835172,4yo,-2
102,32,8,-1.333333333,1.666666667,2,0,1,1.105657037,4yo,-2
102,10,14,0.5,0.5,0.5,1,1,1.421498301,4yo,0.485426827
102,13,10,-1.666666667,-1.666666667,0.333333333,1,0,2.041059379,4yo,-0.378511623
102,8,32,0,1.333333333,2,1,1,1.137822011,4yo,2
102,32,25,-1.333333333,-1,0.333333333,1,0,0.649902866,4yo,-0.35614381
102,10,13,-2,0.666666667,0.333333333,1,1,2.404842922,4yo,0.378511623
102,32,8,1,-1.333333333,2,0,1,0.869706859,4yo,-2
102,10,8,-2,2,0.333333333,1,0,4.986301373,4yo,-0.321928095
102,8,11,-0.833333333,0.5,0.5,1,1,2.349099472,4yo,0.459431619
102,13,14,-0.833333333,1.5,0.166666667,1,1,1.479298762,4yo,0.106915204
102,16,20,1.666666667,0,0.333333333,0,0,7.527941325,4yo,0.321928095
102,29,32,-1.833333333,-0.833333333,0.166666667,0,0,1.464386467,4yo,0.142019005
102,32,8,0.333333333,1,2,0,1,1.176535056,4yo,-2
102,9,13,-1.833333333,-1.166666667,0.5,0,0,1.15233632,4yo,0.530514717
102,20,25,-0.666666667,2,0.333333333,1,1,1.379187642,4yo,0.321928095
102,16,23,-1.166666667,1.5,0.5,1,1,1.367121566,4yo,0.523561956
102,8,32,1.666666667,1,2,1,1,0.810980279,4yo,2
102,8,32,-2,0.666666667,2,1,1,0.940397993,4yo,2
102,32,29,0.5,0.5,0.166666667,0,1,12.05098596,4yo,-0.142019005
102,23,16,-1.166666667,-0.166666667,0.5,1,0,2.664003963,4yo,-0.523561956
102,10,11,0.5,-0.5,0.166666667,1,1,1.348664134,4yo,0.137503524
102,25,20,0,-1,0.333333333,1,0,1.201547984,4yo,-0.321928095
102,32,8,0,1.666666667,2,0,1,0.979038576,4yo,-2
102,8,32,-0.333333333,2,2,1,1,1.280716023,4yo,2
102,9,13,-1.833333333,-1.833333333,0.5,1,1,3.026654244,4yo,0.530514717
102,25,18,0.166666667,-0.5,0.5,0,1,2.836863629,4yo,-0.473931188
102,8,11,-1.5,-0.166666667,0.5,1,1,4.23468059,4yo,0.459431619
102,25,32,0.333333333,1.666666667,0.333333333,1,1,1.750967472,4yo,0.35614381
102,16,11,1.833333333,-1.166666667,0.5,0,1,4.24745527,4yo,-0.540568381
102,10,13,1,2,0.333333333,1,1,7.177524604,4yo,0.378511623
102,13,16,-0.666666667,-1.333333333,0.333333333,0,0,2.235317493,4yo,0.299560282
102,32,8,-0.666666667,0,2,0,1,1.361687142,4yo,-2
102,25,32,1.333333333,1.666666667,0.333333333,1,1,1.469908651,4yo,0.35614381
102,14,16,-0.166666667,1.5,0.166666667,1,1,1.162230268,4yo,0.192645078
102,14,16,1.833333333,-1.166666667,0.166666667,0,0,0.940131535,4yo,0.192645078
