Intro,StimFileLeft,StimFileRight,N1,N2,Distance,MagnitudeN2,Correct,Ratio,Instructions.thisRepN,Instructions.thisTrialN,Instructions.thisN,Instructions.thisIndex,NumTraining.thisRepN,NumTraining.thisTrialN,NumTraining.thisN,NumTraining.thisIndex,CompExp.thisRepN,CompExp.thisTrialN,CompExp.thisN,CompExp.thisIndex,thisRow.t,notes,Instruction_Pages.started,InstructionPage.started,InstructionResponse.started,Instruction_Pages.stopped,InstructionResponse.keys,InstructionResponse.rt,InstructionResponse.duration,NumProc.started,Fix.started,blank2.started,Fix.stopped,blank2.stopped,DotsLeft.started,DotRight.started,targetResp.started,NumProc.stopped,targetResp.keys,targetResp.corr,targetResp.rt,targetResp.duration,feedbackNum.started,FBnum.started,feedbackNum.stopped,FBnum.stopped,InstructionExpNum.started,StartExp.started,InstructionExpResp.started,InstructionExpNum.stopped,InstructionExpResp.keys,InstructionExpResp.rt,InstructionExpResp.duration,ThisIsTheEnd.started,TheEnd.started,TheEnd.stopped,ThisIsTheEnd.stopped,Do NOT enter your name here:,participant,session,How old are you?,M o F,date,expName,psychopyVersion,frameRate,expStart,
,TCS_DotComp_StimImages/1_18_1.bmp,TCS_DotComp_StimImages/1_16_1.bmp,16,18,close,larger,s,1.13,,,,,,,,,0,13,13,32,51.586745099994005,,,,,,,,,51.55113900000288,51.586745099994005,52.065042000001995,52.098675100001856,52.56538879999425,52.56538879999425,52.56538879999425,52.56538879999425,53.267511700003524,l,0,0.7007115999876987,None,,,,,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
,TCS_DotComp_StimImages/1_32_2.bmp,TCS_DotComp_StimImages/1_40_2.bmp,32,40,far,larger,l,1.25,,,,,,,,,0,14,14,57,53.30781850000494,,,,,,,,,53.2689723999938,53.30781850000494,53.78133919999527,53.81486479999148,54.28254849999212,54.28254849999212,54.28254849999212,54.28254849999212,54.93274190000375,l,1,0.6468135999894002,None,,,,,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
,TCS_DotComp_StimImages/1_14_1.bmp,TCS_DotComp_StimImages/1_16_1.bmp,16,14,close,smaller,l,0.88,,,,,,,,,0,15,15,16,54.96027049999975,,,,,,,,,54.93410600000061,54.96027049999975,55.448248100001365,55.46510689999559,55.948947800003225,55.948947800003225,55.948947800003225,55.948947800003225,56.63377639999089,l,1,0.6832605000090552,None,,,,,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
,TCS_DotComp_StimImages/1_32_2.bmp,TCS_DotComp_StimImages/1_28_2.bmp,32,28,close,smaller,s,0.88,,,,,,,,,0,16,16,25,56.66055529999721,,,,,,,,,56.6353042999981,56.66055529999721,57.148360899998806,57.16476020000118,57.64880939999421,57.64880939999421,57.64880939999421,57.64880939999421,58.34952789999079,l,0,0.6918411000078777,None,,,,,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
,TCS_DotComp_StimImages/2_32_6.bmp,TCS_DotComp_StimImages/2_28_6.bmp,32,28,close,smaller,s,0.88,,,,,,,,,0,17,17,29,58.388653799993335,,,,,,,,,58.350860999998986,58.388653799993335,58.86479959999269,58.89847729999747,59.36525719999918,59.36525719999918,59.36525719999918,59.36525719999918,60.049666199993226,s,1,0.6703751000022748,None,,,,,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
,TCS_DotComp_StimImages/1_32_4.bmp,TCS_DotComp_StimImages/1_36_4.bmp,32,36,close,larger,l,1.13,,,,,,,,,0,18,18,43,60.07403819999308,,,,,,,,,60.05048119999992,60.07403819999308,60.56468169999425,60.58159230000456,61.06528539999272,61.06528539999272,61.06528539999272,61.06528539999272,61.75090739999723,l,1,0.6848428000084823,None,,,,,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
,TCS_DotComp_StimImages/2_24_5.bmp,TCS_DotComp_StimImages/2_32_5.bmp,32,24,far,smaller,l,0.75,,,,,,,,,0,19,19,12,61.76482430000033,,,,,,,,,61.75224499999604,61.76482430000033,62.26469329999236,62.26469329999236,62.76528779999353,62.76528779999353,62.76528779999353,62.76528779999353,63.30026409999118,l,1,0.5328870999946957,None,,,,,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
,TCS_DotComp_StimImages/2_40_7.bmp,TCS_DotComp_StimImages/2_32_7.bmp,32,40,far,larger,s,1.25,,,,,,,,,0,20,20,62,63.328572400001576,,,,,,,,,63.30158679999295,63.328572400001576,63.814778999992996,63.83148189999338,64.31516919999558,64.31516919999558,64.31516919999558,64.31516919999558,65.18284159999166,l,0,0.8667550999962259,None,,,,,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
,TCS_DotComp_StimImages/2_32_8.bmp,TCS_DotComp_StimImages/2_40_8.bmp,32,40,far,larger,l,1.25,,,,,,,,,0,21,21,63,65.20876710000448,,,,,,,,,65.18389169999864,65.20876710000448,65.69839710000088,65.71477550000418,66.19860329999938,66.19860329999938,66.19860329999938,66.19860329999938,67.16560900000331,l,1,0.9521228000085102,None,,,,,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
,TCS_DotComp_StimImages/1_40_1.bmp,TCS_DotComp_StimImages/1_32_1.bmp,32,40,far,larger,s,1.25,,,,,,,,,0,22,22,56,67.19239270000253,,,,,,,,,67.16680160000396,67.19239270000253,67.6814660999953,67.69796819999465,68.18140849999327,68.18140849999327,68.18140849999327,68.18140849999327,68.95132540000486,s,1,0.7568914000003133,None,,,,,,,,,,,,,,,,999,1,001,0,F,2024-11-19_21h21.32.101,TCS_DotComp,2024.1.4,None,2024-11-19 21h21.42.887692 +0100,
